2025-06-26 20:01:22.774153 | ID: 241 | class: chair | x: 1 | y: 254
2025-06-26 20:01:23.777011 | ID: 242 | class: chair | x: 1 | y: 256
2025-06-26 20:01:25.166784 | ID: 243 | class: chair | x: 1 | y: 256
2025-06-26 20:01:29.432531 | ID: 245 | class: chair | x: 0 | y: 256
2025-06-26 20:01:32.479318 | ID: 247 | class: chair | x: 0 | y: 255
2025-06-26 20:01:35.357699 | ID: 250 | class: chair | x: 2 | y: 263
2025-06-26 20:01:35.358691 | ID: 249 | class: chair | x: 293 | y: 231
2025-06-26 20:01:42.447895 | ID: 252 | class: chair | x: 0 | y: 255
2025-06-26 20:01:48.953646 | ID: 253 | class: chair | x: 0 | y: 222
2025-06-26 20:01:49.754096 | ID: 254 | class: chair | x: 0 | y: 222
2025-06-26 20:01:50.807903 | ID: 255 | class: chair | x: 0 | y: 222
2025-06-26 20:01:52.153206 | ID: 256 | class: chair | x: 0 | y: 222
2025-06-26 20:01:55.130167 | ID: 257 | class: chair | x: 1 | y: 257
2025-06-26 20:02:01.961989 | ID: 258 | class: chair | x: 2 | y: 257
2025-06-26 20:02:02.507289 | ID: 259 | class: chair | x: 0 | y: 224
2025-06-26 20:02:04.650062 | ID: 260 | class: chair | x: 0 | y: 224
2025-06-26 20:02:10.573960 | ID: 261 | class: chair | x: 0 | y: 224
2025-06-26 20:02:12.695995 | ID: 262 | class: chair | x: 0 | y: 225
2025-06-26 20:02:20.313472 | ID: 266 | class: chair | x: 0 | y: 224
2025-06-26 20:02:24.615012 | ID: 267 | class: chair | x: 0 | y: 224
2025-06-26 20:02:26.916933 | ID: 271 | class: chair | x: 0 | y: 224
2025-06-26 20:02:29.435711 | ID: 273 | class: chair | x: 0 | y: 224
=== SESSION_START: 20250626200231  ===
2025-06-26 20:02:32.010680 | ID: 276 | class: chair | x: 0 | y: 224
2025-06-26 20:02:33.402532 | ID: 277 | class: chair | x: 0 | y: 224
2025-06-26 20:02:35.838458 | ID: 278 | class: chair | x: 0 | y: 224
2025-06-26 20:02:37.819253 | ID: 279 | class: chair | x: 0 | y: 225
2025-06-26 20:02:38.412135 | ID: 280 | class: chair | x: 0 | y: 224
2025-06-26 20:02:41.044578 | ID: 282 | class: chair | x: 0 | y: 224
2025-06-26 20:02:42.673289 | ID: 283 | class: chair | x: 0 | y: 224
2025-06-26 20:02:44.891504 | ID: 284 | class: chair | x: 0 | y: 224
2025-06-26 20:02:49.324631 | ID: 287 | class: chair | x: 0 | y: 224
2025-06-26 20:02:50.855706 | ID: 288 | class: chair | x: 0 | y: 224
2025-06-26 20:02:51.669609 | ID: 289 | class: chair | x: 0 | y: 224
2025-06-26 20:02:52.827548 | ID: 290 | class: chair | x: 0 | y: 224
2025-06-26 20:02:55.676596 | ID: 291 | class: chair | x: 0 | y: 224
2025-06-26 20:02:58.881028 | ID: 293 | class: chair | x: 0 | y: 225
2025-06-26 20:02:59.684330 | ID: 294 | class: chair | x: 0 | y: 224
2025-06-26 20:02:59.722872 | ID: 295 | class: chair | x: 4 | y: 264
2025-06-26 20:02:59.838207 | ID: 296 | class: chair | x: 0 | y: 225
2025-06-26 20:03:00.168843 | ID: 298 | class: chair | x: 295 | y: 234
2025-06-26 20:03:01.122674 | ID: 300 | class: chair | x: 295 | y: 235
2025-06-26 20:03:07.300486 | ID: 307 | class: chair | x: 0 | y: 224
2025-06-26 20:03:07.375356 | ID: 308 | class: chair | x: 3 | y: 257
2025-06-26 20:03:07.447117 | ID: 309 | class: chair | x: 0 | y: 224
2025-06-26 20:03:07.851983 | ID: 311 | class: chair | x: 0 | y: 225
2025-06-26 20:03:08.043125 | ID: 312 | class: chair | x: 3 | y: 260
2025-06-26 20:03:08.525081 | ID: 314 | class: chair | x: 0 | y: 225
2025-06-26 20:03:11.811135 | ID: 316 | class: chair | x: 0 | y: 224
2025-06-26 20:03:14.423323 | ID: 320 | class: chair | x: 0 | y: 224
2025-06-26 20:03:14.564039 | ID: 321 | class: chair | x: 295 | y: 234
2025-06-26 20:03:15.126382 | ID: 322 | class: chair | x: 0 | y: 223
2025-06-26 20:03:16.350236 | ID: 323 | class: chair | x: 0 | y: 225
2025-06-26 20:03:18.286698 | ID: 325 | class: chair | x: 0 | y: 224
2025-06-26 20:03:18.832344 | ID: 327 | class: chair | x: 0 | y: 224
2025-06-26 20:03:19.569347 | ID: 328 | class: chair | x: 295 | y: 234
2025-06-26 20:03:19.910220 | ID: 329 | class: chair | x: 0 | y: 224
2025-06-26 20:03:20.751045 | ID: 330 | class: chair | x: 294 | y: 234
2025-06-26 20:03:22.828328 | ID: 332 | class: chair | x: 0 | y: 224
2025-06-26 20:03:23.598954 | ID: 333 | class: chair | x: 0 | y: 224
2025-06-26 20:03:35.748255 | ID: 334 | class: chair | x: 0 | y: 225
2025-06-26 20:03:37.706252 | ID: 335 | class: chair | x: 0 | y: 224
